Outcome,Team A,Team B,Score A,Score B,Date
1,Carpe Noctem,Triangle Offense,2,0,2021-02-11
1,ex-Serenity,303 Esports,2,0,2021-02-11
1,Dignitas,RIFLE CRUTCHERS,2,0,2021-02-11
1,Gen.G,VIRTUOSO,2,0,2021-02-11
1,Knights,Grapefruit Techniques,2,0,2021-02-11
1,Rise,NBKS CENTURIONS,2,0,2021-02-11
1,100 Thieves,VZN,2,0,2021-02-11
-1,Cloud9 White,On The Way,0,2,2021-02-11
1,Spot Up,Brimstone Gaming,2,0,2021-02-11
-1,Black Dragon Society,Hollywood Hooliganz,1,2,2021-02-11
1,beastcoast,Evil Geniuses,2,0,2021-02-11
1,Sedated,BLAHAJ,2,0,2021-02-11
-1,D2E Black,down bad,0,2,2021-02-11
1,Spacestation Gaming,SDK,2,0,2021-02-11
1,Renegades,Goomba Squad,2,1,2021-02-11
1,eUnited,PremierGG,2,0,2021-02-11
1,100 Thieves,NSIC,2,0,2021-02-12
1,Ghost Gaming,Complexity,2,0,2021-02-12
1,NRG Esports,FUNSNATCHERS,2,0,2021-02-12
1,Andbox,On The Way,2,0,2021-02-12
1,FaZe Clan,eUnited,2,1,2021-02-12
-1,Carpe Noctem,Version1,0,2,2021-02-12
-1,Headshot Percentage,ex-Serenity,0,2,2021-02-12
1,Built By Gamers,Spot Up,2,1,2021-02-12
1,TSM,Slimy Boogermen,2,0,2021-02-12
-1,Big Frames,Dignitas,0,2,2021-02-12
1,Gen.G,down bad,2,0,2021-02-12
1,Cloud9,Hollywood Hooliganz,2,0,2021-02-12
1,Envy,beastcoast,2,0,2021-02-12
1,Spacestation Gaming,Knights,2,1,2021-02-12
1,Renegades,Sedated,2,1,2021-02-12
-1,Equinox Esports,Rise,1,2,2021-02-12
1,TSM,Dignitas,2,0,2021-02-12
-1,NRG Esports,Andbox,0,2,2021-02-12
1,Gen.G,Cloud9,2,1,2021-02-12
1,100 Thieves,Ghost Gaming,2,0,2021-02-12
1,FaZe Clan,Version1,2,1,2021-02-12
-1,ex-Serenity,Built By Gamers,0,2,2021-02-12
1,Renegades,Rise,2,1,2021-02-12
1,Envy,Spacestation Gaming,2,0,2021-02-12
1,100 Thieves,Andbox,2,0,2021-02-13
1,FaZe Clan,Built By Gamers,2,1,2021-02-13
-1,TSM,Gen.G,1,2,2021-02-14
1,Envy,Renegades,2,0,2021-02-14
1,Sentinels,FaZe Clan,2,0,2021-02-20
-1,XSET,Envy,0,2,2021-02-20
1,Immortals,Gen.G,2,0,2021-02-20
1,Luminosity,100 Thieves,2,1,2021-02-20
-1,FaZe Clan,XSET,0,2,2021-02-20
-1,Gen.G,100 Thieves,0,2,2021-02-20
-1,Sentinels,Envy,1,2,2021-02-21
1,Immortals,Luminosity,2,1,2021-02-21
1,Sentinels,100 Thieves,2,0,2021-02-21
-1,Luminosity,XSET,0,2,2021-02-21
1,Envy,Immortals,2,1,2021-02-22
-1,XSET,Sentinels,0,2,2021-02-22
-1,Immortals,Sentinels,0,2,2021-02-22
1,Envy,Sentinels,3,0,2021-02-23
